file_id,organism,locus_tag,ess,conf,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.13701946,0.22505835,0.181038905
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.18233407,0.8008562,0.491595135
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.19977662,0.050524123,0.1251503715
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.42748874,0.6071297,0.51730922
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.20893556,0.1037867,0.15636113
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.24432532,0.17091724,0.20762128000000002
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.042951453,0.06363505,0.0532932515
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.3764199,0.5026325,0.4395262
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.06478776,0.10619846,0.08549311
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.30419105,0.12859772,0.21639438500000002
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0148735875,0.042228326,0.02855095675
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0021236683,0.032080814,0.01710224115
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.84236234,0.87975913,0.8610607349999999
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.7375424,0.7708335,0.7541879499999999
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0032079937,0.021878103,0.012543048349999999
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.12892742,0.044420887,0.08667415349999999
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.10233168,0.13837087,0.12035127500000001
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.038575724,0.09852075,0.068548237
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.0060166167,0.16381827,0.08491744335
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.15009815,0.028000388,0.08904926900000001
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.7070738,0.81142265,0.759248225
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.5721864,0.25610808,0.41414724
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.8049735,0.9441373,0.8745554
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9469569,0.9471594,0.9470581499999999
