file_id,organism,locus_tag,ess,conf,conf_aamean,conf_eos,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0022182844,0.010914263,0.05427317,0.17916842,0.06164353435
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.36548102,0.25867066,0.30304396,0.18098749,0.2770457825
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.012484532,0.006038194,0.05927424,0.0045060865,0.020575763125
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.3473259,0.20672603,0.10231977,0.58508277,0.31036361749999997
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.03290172,0.066945866,0.10440409,0.032962266,0.0593034855
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.027655441,0.21734771,0.24278305,0.006662724,0.12361223125000001
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.02017212,0.018344281,0.004802279,0.0021900388,0.011377179700000002
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.048478726,0.044183653,0.30271155,0.04149715,0.10921776975
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.5879784,0.21483034,0.18125132,0.049403243,0.25836582575
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.03303966,0.094818965,0.08937505,0.35086933,0.14202575125
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.005888389,0.29948342,0.06374784,0.14023486,0.12733862725
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.012637229,0.016228804,0.014070108,0.12428298,0.04180478025
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.7324549,0.91989297,0.9146691,0.9232539,0.8725677175
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.68538654,0.88764316,0.6717101,0.5530747,0.6994536250000001
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.02089342,0.0024387154,0.007981166,0.021428285,0.0131853966
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.5177415,0.030360214,0.119035706,0.20005624,0.216798415
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.04192243,0.01684873,0.086042665,0.068704225,0.053379512500000004
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.009236075,0.00835297,0.023512518,0.011060685,0.013040561999999999
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.312672,0.050974164,0.17119507,0.062139325,0.14924513974999998
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.009491203,0.0043219007,0.003494004,0.0039191195,0.005306556799999999
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8268571,0.95661396,0.94204104,0.9064384,0.907987625
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.37233585,0.57704043,0.6328952,0.51800114,0.525068155
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.77045745,0.9635487,0.87425685,0.98398685,0.8980624625
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.93722624,0.9191267,0.9528929,0.9754304,0.94616906
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9298551,0.9547095,0.9773791,0.961093,0.955759175
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.12448243,0.20733507,0.5440116,0.20819296,0.27100551500000003
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9481441,0.9745524,0.98253953,0.9728905,0.9695316325000001
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.016953604,0.008265087,0.36975747,0.5282385,0.23080366525
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.90049005,0.89192027,0.98344433,0.92445755,0.9250780500000001
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.56787056,0.40237218,0.6023676,0.08583937,0.4146124275
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6601023,0.54702014,0.8029081,0.74583805,0.6889671475
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.075912364,0.33452225,0.07538428,0.07998332,0.1414505535
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.021361979,0.038641572,0.057380658,0.080467954,0.04946304075
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.00015547512,0.0930987,0.0009054978,0.123231925,0.05434789948
