file_id,organism,locus_tag,ess,conf,conf_bos,conf_eos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0028065036,0.008156974,0.011918284,0.007627253866666667
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.057683915,0.33370116,0.2130345,0.20147319166666666
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.013576944,0.009637384,0.0050479374,0.009420755133333333
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.5155601,0.44509408,0.2464163,0.4023568266666666
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.005335719,0.016065588,0.012122089,0.011174465333333333
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.029885553,0.1189189,0.3094842,0.15276288433333332
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.010686471,0.0663363,0.00476157,0.027261447000000005
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.08513819,0.13221005,0.04899127,0.08877983666666667
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.0478353,0.0826022,0.25133193,0.12725647666666665
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.023725843,0.0031050872,0.058048338,0.0282930894
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0024890455,0.0015617143,0.019757459,0.007936072933333335
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0026131421,5.5484485e-05,5.1958257e-05,0.000906861614
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.92819536,0.9522284,0.9759278,0.9521171866666668
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.8788647,0.8954723,0.25132677,0.6752212566666667
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.00039715538,0.00031984635,0.00032506807,0.0003473566
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.0027508289,0.008692952,0.026440145,0.012627975300000002
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.12354145,0.03405475,0.0333277,0.0636413
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.06539698,0.023130639,0.0037776865,0.030768435166666667
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.03318478,0.39593843,0.30324662,0.24412327666666667
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.08296162,0.03701839,0.16050263,0.09349421333333334
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.88960636,0.93389374,0.80694443,0.8768148433333334
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.39735615,0.11205685,0.13932809,0.21624703
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9688709,0.98325586,0.81484115,0.9223226366666667
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.98907673,0.99463993,0.97725165,0.9869894366666666
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9777616,0.9856839,0.9543264,0.9725906333333333
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.13695194,0.3144984,0.035498615,0.16231631833333335
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.81690973,0.86610484,0.98320687,0.88874048
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.13255906,0.0030884352,0.0029858311,0.04621110876666667
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9450548,0.9774399,0.99204636,0.9715136866666668
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.6526708,0.4719384,0.53765255,0.55408725
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6072535,0.7860138,0.26508257,0.5527832899999999
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.06755967,0.04482489,0.10934347,0.07390934333333334
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.039856136,0.0029406587,0.062008116,0.034934970233333335
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.0031673291,0.043419875,0.016102618,0.020896607366666663
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.008312511,0.014353725,0.017999206,0.013555147333333331
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.003540077,0.0087937275,0.026047975,0.012793926500000002
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.02237788,0.08893377,0.027284967,0.046198872333333335
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.2055401,0.0059911935,0.12093845,0.11082324783333335
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.091955654,0.019550053,0.25764656,0.12305075566666668
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.09819964,0.10965127,0.029261842,0.07903758400000001
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.0051229903,0.03605561,0.0059750318,0.015717877366666667
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.18551062,0.0012006458,0.010747217,0.06581949426666667
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.015990041,0.08610456,0.04959833,0.050564310333333334
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0027264915,0.022372324,0.013170636,0.012756483833333332
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.018750992,0.026577964,0.09369377,0.04634090866666666
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.8711967,0.9483314,0.9956683,0.9383988
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.03634214,0.07640725,0.08048703,0.06441214
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.085011415,0.661739,0.02209147,0.2562806283333333
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.53359824,0.711511,0.24015196,0.4950870666666667
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.7812698,0.5657593,0.57305074,0.6400266133333333
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.6419546,0.7546367,0.45354438,0.6167118933333334
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.98855966,0.99017006,0.98024195,0.98632389
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.017595353,0.061965354,0.008762758,0.029441155
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.032529388,0.023925016,0.095929116,0.05079450666666666
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.013477693,0.103282824,0.0011320356,0.03929751753333333
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.0018714587,0.008755832,0.005913367,0.005513552566666666
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.010702311,0.30274585,0.09791987,0.137122677
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.011327646,0.0026160306,0.0014632493,0.005135641966666667
