file_id,organism,locus_tag,ess,conf,conf_bos,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0019185652,0.008156974,0.1841545,0.0647433464
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.19805272,0.33370116,0.30965227,0.2804687166666667
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.00960609,0.009637384,0.011370464,0.010204646
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.35176948,0.44509408,0.72495395,0.5072725033333333
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.25892004,0.016065588,0.02778585,0.10092382600000001
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.12764469,0.1189189,0.03652062,0.09436140333333333
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0077798516,0.0663363,0.000791538,0.024969229866666665
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.41213694,0.13221005,0.088201016,0.2108493353333333
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.18125282,0.0826022,0.4801474,0.24800080666666666
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0095594395,0.0031050872,0.06639679,0.026353772233333333
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.00059843913,0.0015617143,0.012204867,0.004788340143333333
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.016001314,5.5484485e-05,0.006251838,0.007436212161666666
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9074683,0.9522284,0.8841402,0.9146122999999999
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.68281555,0.8954723,0.72377735,0.7673550666666668
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.00025073218,0.00031984635,0.00018526442,0.00025194765000000004
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.0034810994,0.008692952,0.096231215,0.0361350888
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.20075214,0.03405475,0.16303779,0.13261489333333332
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0864298,0.023130639,0.02355563,0.044372023000000003
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.13160239,0.39593843,5.5997592e-05,0.17586560586400002
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.047742505,0.03701839,0.027999837,0.03758691066666667
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.9240399,0.93389374,0.88274443,0.9135593566666668
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.3046333,0.11205685,0.14758241,0.18809085333333334
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.96057826,0.98325586,0.96517944,0.9696711866666666
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9766018,0.99463993,0.985502,0.9855812433333333
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.93935287,0.9856839,0.7782213,0.9010860233333333
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.35147077,0.3144984,0.20509936,0.2903561766666667
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.92798287,0.86610484,0.98598844,0.9266920499999999
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.0009384347,0.0030884352,0.019874662,0.007967177300000001
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.87741864,0.9774399,0.9924867,0.94911508
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.40387547,0.4719384,0.06517403,0.31366263333333333
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.8164248,0.7860138,0.47649446,0.6929776866666666
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.016749658,0.04482489,0.49885258,0.18680904266666665
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.17495458,0.0029406587,0.08187694,0.08659072623333332
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.0042640595,0.043419875,0.0812784,0.04298744483333333
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.02389841,0.014353725,0.023606839,0.020619658
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.018124186,0.0087937275,0.4155355,0.14748447116666666
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.1870422,0.08893377,0.15386073,0.1432789
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.1243332,0.0059911935,0.019962756,0.0500957165
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.0021996892,0.019550053,0.06834329,0.030031010733333335
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.0013063871,0.10965127,0.00082550605,0.03726105438333333
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.021954251,0.03605561,0.07813274,0.045380867
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.009882855,0.0012006458,0.020354131,0.010479210600000002
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.0057141017,0.08610456,0.0040410357,0.03195323246666667
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0021644053,0.022372324,0.0018500086,0.0087955793
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.11124663,0.026577964,0.0132610155,0.05036186983333333
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.93037874,0.9483314,0.98367876,0.9541296333333333
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.002836136,0.07640725,0.15575328,0.07833222199999999
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.0136753535,0.661739,0.111115865,0.26217673950000003
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.5572427,0.711511,0.10169142,0.45681504
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.6923845,0.5657593,0.2692168,0.5091202
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.6136881,0.7546367,0.89004827,0.7527910233333333
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.99653697,0.99017006,0.8922259,0.95964431
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.051979486,0.061965354,0.004712392,0.03955241066666666
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.06690481,0.023925016,0.020696372,0.03717539933333334
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.028177593,0.103282824,0.0004868133,0.0439824101
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.010814582,0.008755832,0.22951233,0.08302758133333334
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.007118213,0.30274585,0.65182424,0.3205627676666667
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.32148823,0.0026160306,0.0034347433,0.10917966796666666
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.010859722,0.008997709,0.029155048,0.016337492999999998
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.0005666391,0.041906424,0.028601944,0.023691669033333335
