file_id,organism,locus_tag,ess,conf,conf_aamean,conf_bos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0022182844,0.010914263,0.013902548,0.009011698466666667
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.36548102,0.25867066,0.3984273,0.34085966
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.012484532,0.006038194,0.020046884,0.012856536666666668
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.3473259,0.20672603,0.124681056,0.22624432866666666
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.03290172,0.066945866,0.018912425,0.03958667033333334
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.027655441,0.21734771,0.17640318,0.14046877700000002
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.02017212,0.018344281,0.016366115,0.018294172
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.048478726,0.044183653,0.29909474,0.13058570633333336
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.5879784,0.21483034,0.13593064,0.31291312666666665
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.03303966,0.094818965,0.0016422652,0.0431669634
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.005888389,0.29948342,0.061952513,0.12244144066666666
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.012637229,0.016228804,0.012219005,0.013695012666666666
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.7324549,0.91989297,0.9138407,0.85539619
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.68538654,0.88764316,0.7774868,0.7835055
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.02089342,0.0024387154,0.08594764,0.0364265918
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.5177415,0.030360214,0.3526258,0.30024250466666663
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.04192243,0.01684873,0.07542405,0.04473173666666667
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.009236075,0.00835297,0.003154792,0.006914612333333333
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.312672,0.050974164,0.0013366318,0.12166093193333333
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.009491203,0.0043219007,0.018918926,0.010910676566666666
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8268571,0.95661396,0.82119036,0.8682204733333334
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.37233585,0.57704043,0.489627,0.47966776000000005
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.77045745,0.9635487,0.97281396,0.90227337
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.93722624,0.9191267,0.9894944,0.9486157799999999
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9298551,0.9547095,0.9759856,0.9535167333333333
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.12448243,0.20733507,0.4234285,0.2517486666666667
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9481441,0.9745524,0.9298931,0.9508632
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.016953604,0.008265087,0.0052081794,0.010142290133333334
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.90049005,0.89192027,0.9316396,0.90801664
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.56787056,0.40237218,0.4789371,0.4830599466666667
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6601023,0.54702014,0.7502769,0.6524664466666666
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.075912364,0.33452225,0.43023896,0.28022452466666664
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.021361979,0.038641572,0.003131677,0.021045076
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.00015547512,0.0930987,0.0013439282,0.031532701106666665
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.001215246,0.010777402,0.061345395,0.02444601433333333
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0025409926,0.013404567,0.0062634884,0.007403015999999999
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.38235545,0.30815774,0.032487266,0.241000152
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.0064067435,0.09203208,0.064996995,0.054478606166666665
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.049706396,0.27800706,0.05227141,0.126661622
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.013084368,0.057875734,0.031860333,0.03427347833333333
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.011355342,0.06297767,0.09055999,0.054964334000000004
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.0073983236,0.016586082,0.006956179,0.0103135282
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.0022627616,0.000693051,0.010281851,0.004412554533333333
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0014062291,0.002682377,0.08001565,0.028034752033333332
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.26635018,0.28192452,0.08413055,0.21080175
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9157466,0.96831614,0.9566485,0.9469037466666667
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.0031104276,0.23577568,0.039718896,0.09286833453333332
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.0013364422,0.0017841876,0.003025094,0.0020485746
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.2093381,0.64772373,0.57082134,0.4759610566666666
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.29747108,0.80144906,0.9207987,0.6732396133333335
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.63555145,0.9148733,0.77107185,0.7738321999999999
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.994228,0.9989477,0.0446335,0.6792697333333334
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.04934157,0.009944524,0.01373823,0.024341441333333335
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.039744493,0.14075436,0.01657449,0.06569111433333333
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.01835515,0.018957345,0.023169711,0.020160735333333332
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.11110657,0.03626905,0.030202936,0.059192852
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.0015569445,0.0008978255,0.023022143,0.008492304333333332
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.0053295023,0.011016204,0.010458456,0.008934720766666666
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.056192555,0.0028323599,0.011966166,0.023663693633333333
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.00027830518,0.0015957459,0.06510104,0.022325030359999998
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.08550158,0.036314778,0.32479793,0.14887142933333333
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.005841362,0.09199847,0.0074814768,0.035107102933333335
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.032565985,0.2659984,0.058391638,0.11898534100000002
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.0030885423,0.037655994,0.33311716,0.12462056543333333
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.010216096,0.12226903,0.19087406,0.10778639533333334
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.62046343,0.30918342,0.5407152,0.4901206833333333
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.30686107,0.221687,0.2853454,0.27129782333333335
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.3253184,0.32588264,0.5953437,0.41551491333333335
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.7498754,0.86671835,0.44282746,0.6864737366666667
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.024148231,0.013721506,0.00940221,0.015757315666666667
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.0068647494,0.13963228,0.40889573,0.1851309198
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.09761205,0.6582819,0.18603852,0.31397748999999997
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.0067492714,0.017663516,0.11231989,0.045577559133333334
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.8255354,0.96203613,0.90938,0.8989838433333334
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.62204844,0.7584558,0.854192,0.7448987466666667
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.96409047,0.95917237,0.9614367,0.9615665133333334
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.93708384,0.986376,0.94811857,0.9571928033333333
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.95855445,0.9746176,0.943342,0.9588380166666667
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.87459946,0.92500585,0.99185365,0.93048632
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.982768,0.9476654,0.9864829,0.9723054333333333
