file_id,organism,locus_tag,ess,conf,conf_eos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.21361765,0.22322103,0.21841934
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.5305688,0.2418461,0.38620745
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.04805535,0.06687343,0.05746439
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.4826862,0.20605674,0.34437147
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.018061398,0.490829,0.254445199
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.06996174,0.17277795,0.121369845
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0076902453,0.0006859067,0.004188076
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.087276265,0.026956832,0.0571165485
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.06326558,0.41058716,0.23692637
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0039593377,0.005827146,0.0048932418500000005
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.025377791,0.12355908,0.0744684355
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.010087439,0.0005914214,0.0053394302
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9103961,0.95380485,0.932100475
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.6856426,0.7261306,0.7058865999999999
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.6425733,0.009814955,0.3261941275
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.08322143,0.06245051,0.07283597
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.052317224,0.12004082,0.08617902200000001
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0039500906,0.023880282,0.0139151863
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.020241255,7.103912e-05,0.01015614706
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.015691537,0.0655522,0.040621868500000005
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.87450695,0.78389794,0.829202445
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.36485502,0.23180124,0.29832812999999997
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.976478,0.99269825,0.9845881249999999
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9706515,0.974256,0.97245375
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9753914,0.9489512,0.9621713000000001
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.34173593,0.23715809,0.28944701
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9839072,0.99197394,0.98794057
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.035631668,0.13308676,0.084359214
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9888265,0.9647898,0.9768081500000001
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.72186136,0.6200852,0.67097328
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.7412384,0.6693283,0.70528335
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.110606976,0.029541956,0.070074466
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.0069366507,0.031968173,0.01945241185
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.017382555,0.07776393,0.0475732425
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.002218331,0.011739798,0.0069790645
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.050745074,0.0010091051,0.02587708955
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.109924726,0.03816747,0.074046098
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.0741274,0.024229724,0.049178561999999995
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.16142571,0.13500614,0.148215925
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.03322996,0.02379891,0.028514435
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.31540146,0.032026682,0.17371407100000003
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.018340165,0.21404083,0.11619049749999999
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.0031650898,0.0075488095,0.00535694965
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.007626369,0.0019797338,0.0048030514
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.030705461,0.025893254,0.0282993575
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9023922,0.95474464,0.92856842
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.035455782,0.0023489906,0.018902386299999997
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.0022417265,0.037232857,0.01973729175
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.6937942,0.3197816,0.5067879
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.49450788,0.5914748,0.5429913399999999
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.9678982,0.9631426,0.9655204
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.92331034,0.99609214,0.95970124
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.003513017,0.0138900755,0.008701546249999999
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.08134826,0.20818304,0.14476565000000002
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.00031643116,0.0016680722,0.0009922516799999999
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.0742571,0.016363965,0.0453105325
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.26516297,0.013232824,0.139197897
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.00058314926,0.009245886,0.00491451763
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.0011560522,0.009219718,0.0051878851
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.0042419415,0.09230517,0.04827355575
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.07553635,0.14590394,0.110720145
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.078922264,0.012424037,0.0456731505
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.39620516,0.73333824,0.5647717
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.15901797,0.03728718,0.098152575
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.078273036,0.009683034,0.043978035
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.52176136,0.15302178,0.33739157
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.07470838,0.07321788,0.07396313
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.29956192,0.16038536,0.22997363999999998
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.5682056,0.686676,0.6274408
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.004824751,0.0038942695,0.00435951025
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.07289635,0.04067225,0.056784299999999996
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.16360793,0.5461676,0.35488776499999997
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.00028507187,0.033120006,0.016702538935
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.7443087,0.8980169,0.8211628
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.9257234,0.87684923,0.901286315
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.96673524,0.961404,0.9640696200000001
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.9899249,0.97807455,0.983999725
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.99450374,0.9941287,0.99431622
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.9872076,0.9934181,0.99031285
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.9834223,0.9861536,0.98478795
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.9548395,0.98951507,0.972177285
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.991139,0.98374474,0.98744187
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.98488694,0.990099,0.9874929699999999
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.9887216,0.9211576,0.9549396
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.9784297,0.9575091,0.9679694
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.99715686,0.9696425,0.98339968
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.9790116,0.9977779,0.98839475
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.9869639,0.9675417,0.9772528
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.9942316,0.9939209,0.99407625
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.005061014,0.0027832983,0.00392215615
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.9818326,0.98221266,0.98202263
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.6654998,0.20829922,0.43689951
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.0131714605,0.05740166,0.03528656025
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.096236005,0.010313361,0.053274683
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.9564873,0.98887223,0.9726797650000001
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.061653957,0.06889707,0.06527551350000001
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.058026925,0.17200536,0.1150161425
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,4.5361474e-05,5.101981e-05,4.8190642e-05
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,0.0002072575,8.993351e-05,0.000148595505
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.5998803,0.5971985,0.5985393999999999
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,0.0011217903,9.914668e-05,0.00061046849
C018,Escherichia coli K-12 BW25113,BW25113_0111,0,0.0015887402,0.00082134834,0.00120504427
