file_id,organism,locus_tag,ess,conf,conf_eos,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0022182844,0.05427317,0.17916842,0.07855329146666666
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.36548102,0.30304396,0.18098749,0.2831708233333333
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.012484532,0.05927424,0.0045060865,0.025421619500000003
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.3473259,0.10231977,0.58508277,0.34490947999999994
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.03290172,0.10440409,0.032962266,0.05675602533333333
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.027655441,0.24278305,0.006662724,0.09236707166666668
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.02017212,0.004802279,0.0021900388,0.0090548126
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.048478726,0.30271155,0.04149715,0.13089580866666664
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.5879784,0.18125132,0.049403243,0.27287765433333333
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.03303966,0.08937505,0.35086933,0.15776134666666666
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.005888389,0.06374784,0.14023486,0.06995702966666666
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.012637229,0.014070108,0.12428298,0.05033010566666666
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.7324549,0.9146691,0.9232539,0.8567926333333333
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.68538654,0.6717101,0.5530747,0.63672378
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.02089342,0.007981166,0.021428285,0.016767623666666665
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.5177415,0.119035706,0.20005624,0.278944482
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.04192243,0.086042665,0.068704225,0.06555644
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.009236075,0.023512518,0.011060685,0.014603092666666666
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.312672,0.17119507,0.062139325,0.18200213166666668
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.009491203,0.003494004,0.0039191195,0.0056347755000000005
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8268571,0.94204104,0.9064384,0.8917788466666666
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.37233585,0.6328952,0.51800114,0.5077440633333333
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.77045745,0.87425685,0.98398685,0.8762337166666666
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.93722624,0.9528929,0.9754304,0.95518318
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9298551,0.9773791,0.961093,0.9561090666666666
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.12448243,0.5440116,0.20819296,0.2922289966666667
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9481441,0.98253953,0.9728905,0.9678580433333334
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.016953604,0.36975747,0.5282385,0.30498319133333335
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.90049005,0.98344433,0.92445755,0.9361306433333333
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.56787056,0.6023676,0.08583937,0.41869251
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6601023,0.8029081,0.74583805,0.7362828166666667
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.075912364,0.07538428,0.07998332,0.07709332133333333
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.021361979,0.057380658,0.080467954,0.053070197000000006
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.00015547512,0.0009054978,0.123231925,0.04143096597333334
