file_id,organism,locus_tag,ess,conf,conf_bos,conf_eos,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,2.5990498e-06,0.21361765,0.22322103,0.036032084,0.11821834076245
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.23075806,0.5305688,0.2418461,0.21421465,0.30434690249999996
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.011813059,0.04805535,0.06687343,0.0247719,0.037878434749999995
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.29867056,0.4826862,0.20605674,0.44177678,0.35729756999999995
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.23665148,0.018061398,0.490829,0.10416359,0.212426367
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.059746247,0.06996174,0.17277795,0.03887496,0.08534022425000001
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.052342784,0.0076902453,0.0006859067,0.00011477008,0.015208426520000002
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.1967502,0.087276265,0.026956832,0.107053734,0.10450925775
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.012939357,0.06326558,0.41058716,0.65833926,0.28628283925
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.041192062,0.0039593377,0.005827146,0.0057872245,0.01419144255
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0021836564,0.025377791,0.12355908,0.04354033,0.04866521435
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.030798057,0.010087439,0.0005914214,0.044640977,0.0215294736
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.86300987,0.9103961,0.95380485,0.9160819,0.91082318
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.640153,0.6856426,0.7261306,0.77859086,0.707629265
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0029123223,0.6425733,0.009814955,0.00061897386,0.16397988779
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.016421467,0.08322143,0.06245051,0.002666854,0.04119006525
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.11914143,0.052317224,0.12004082,0.04147391,0.08324334600000001
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0050757607,0.0039500906,0.023880282,0.000261031,0.008291791075
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.00519488,0.020241255,7.103912e-05,0.00017615795,0.0064208330175
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0070150997,0.015691537,0.0655522,8.858107e-06,0.022066923701750004
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8116385,0.87450695,0.78389794,0.7990128,0.8172640475
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.42003208,0.36485502,0.23180124,0.19546542,0.30303844
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9597631,0.976478,0.99269825,0.9787178,0.9769142875
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9613583,0.9706515,0.974256,0.9811623,0.971857025
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9466852,0.9753914,0.9489512,0.97950774,0.962633885
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.20976302,0.34173593,0.23715809,0.26009604,0.26218827
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.98150086,0.9839072,0.99197394,0.9631583,0.980135075
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.04909416,0.035631668,0.13308676,0.33488965,0.1381755595
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.97050595,0.9888265,0.9647898,0.96404016,0.9720406025
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.70350504,0.72186136,0.6200852,0.088446245,0.5334744612500001
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.46883312,0.7412384,0.6693283,0.74810255,0.6568755925
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.09500919,0.110606976,0.029541956,0.0006083875,0.058941627375
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.0025779023,0.0069366507,0.031968173,0.014572338,0.014013766
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.026465585,0.017382555,0.07776393,0.016322572,0.0344836605
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.0126466155,0.002218331,0.011739798,0.00219528,0.007200006125
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0007923425,0.050745074,0.0010091051,0.008127568,0.0151685224
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.10270126,0.109924726,0.03816747,0.42940354,0.17004924899999999
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.010652636,0.0741274,0.024229724,0.044481333,0.038372773250000006
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.0817314,0.16142571,0.13500614,0.31600022,0.1735408675
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.17710568,0.03322996,0.02379891,0.105265856,0.0848501015
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.058289554,0.31540146,0.032026682,0.11998099,0.1314246715
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.19977261,0.018340165,0.21404083,0.050528295,0.120670475
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.008858878,0.0031650898,0.0075488095,0.00084100396,0.005103445315
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0009669261,0.007626369,0.0019797338,0.002410152,0.003245795225
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.0033526674,0.030705461,0.025893254,0.030302372,0.0225634386
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9468801,0.9023922,0.95474464,0.9367485,0.9351913599999999
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.030117478,0.035455782,0.0023489906,0.054216173,0.030534605899999998
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.00072427443,0.0022417265,0.037232857,0.0009923753,0.0102978083075
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.2829895,0.6937942,0.3197816,0.3162614,0.40320667500000007
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.75690234,0.49450788,0.5914748,0.6134768,0.6140904549999999
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.8933968,0.9678982,0.9631426,0.97936624,0.95095096
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.97976905,0.92331034,0.99609214,0.99897456,0.9745365225
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.12834376,0.003513017,0.0138900755,0.005517055,0.037815976875
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.02288935,0.08134826,0.20818304,0.008316297,0.08018423675
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.0031809895,0.00031643116,0.0016680722,0.00050725514,0.001418187
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.05277617,0.0742571,0.016363965,0.00095867034,0.036088976335
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.042192556,0.26516297,0.013232824,0.77379704,0.2735963475
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.00865098,0.00058314926,0.009245886,0.0031145539,0.005398642290000001
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.0075799925,0.0011560522,0.009219718,0.03055527,0.012127758175
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.00013579022,0.0042419415,0.09230517,0.0073701325,0.026013258555
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.20164904,0.07553635,0.14590394,0.08918174,0.12806776749999998
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.007089071,0.078922264,0.012424037,0.14706357,0.0613747355
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.21685885,0.39620516,0.73333824,0.004473217,0.33771886675
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.0016561775,0.15901797,0.03728718,0.2695275,0.116872206875
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.109824985,0.078273036,0.009683034,0.043203454,0.06024612725
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.5360089,0.52176136,0.15302178,0.33239093,0.3857957424999999
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.420087,0.07470838,0.07321788,0.08216127,0.16254363249999998
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.64661753,0.29956192,0.16038536,0.023738382,0.282575798
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.64994043,0.5682056,0.686676,0.58766127,0.623120825
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.002387718,0.004824751,0.0038942695,6.188338e-05,0.0027921554700000004
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.004418194,0.07289635,0.04067225,0.002914202,0.030225249000000003
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.109265275,0.16360793,0.5461676,0.06267098,0.22042794625
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.012074592,0.00028507187,0.033120006,0.016486915,0.015491646217500002
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.4807425,0.7443087,0.8980169,0.9320597,0.76378195
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.62862307,0.9257234,0.87684923,0.77907634,0.80256801
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.96295786,0.96673524,0.961404,0.973796,0.966223275
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.97287524,0.9899249,0.97807455,0.99162346,0.9831245375000001
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.9714414,0.99450374,0.9941287,0.99830544,0.98959482
