file_id,organism,locus_tag,ess,conf,conf_bos,conf_eos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,2.5990498e-06,0.21361765,0.22322103,0.14561375968326665
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.23075806,0.5305688,0.2418461,0.3343909866666666
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.011813059,0.04805535,0.06687343,0.042247279666666665
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.29867056,0.4826862,0.20605674,0.3291378333333333
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.23665148,0.018061398,0.490829,0.24851395933333334
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.059746247,0.06996174,0.17277795,0.10082864566666667
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.052342784,0.0076902453,0.0006859067,0.020239645333333337
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.1967502,0.087276265,0.026956832,0.10366109899999999
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.012939357,0.06326558,0.41058716,0.16226403233333334
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.041192062,0.0039593377,0.005827146,0.016992848566666666
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0021836564,0.025377791,0.12355908,0.050373509133333334
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.030798057,0.010087439,0.0005914214,0.013825639133333333
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.86300987,0.9103961,0.95380485,0.9090702733333332
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.640153,0.6856426,0.7261306,0.6839754
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0029123223,0.6425733,0.009814955,0.21843352576666666
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.016421467,0.08322143,0.06245051,0.05403113566666667
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.11914143,0.052317224,0.12004082,0.09716649133333334
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0050757607,0.0039500906,0.023880282,0.0109687111
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.00519488,0.020241255,7.103912e-05,0.008502391373333333
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0070150997,0.015691537,0.0655522,0.029419612233333337
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8116385,0.87450695,0.78389794,0.8233477966666668
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.42003208,0.36485502,0.23180124,0.3388961133333333
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9597631,0.976478,0.99269825,0.9763131166666666
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9613583,0.9706515,0.974256,0.9687552666666667
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9466852,0.9753914,0.9489512,0.9570092666666667
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.20976302,0.34173593,0.23715809,0.26288568
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.98150086,0.9839072,0.99197394,0.985794
