file_id,organism,locus_tag,ess,conf,conf_bos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0019185652,0.008156974,0.0050377696
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.19805272,0.33370116,0.26587694
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.00960609,0.009637384,0.009621737
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.35176948,0.44509408,0.39843178
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.25892004,0.016065588,0.13749281400000002
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.12764469,0.1189189,0.123281795
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0077798516,0.0663363,0.0370580758
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.41213694,0.13221005,0.272173495
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.18125282,0.0826022,0.13192751
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0095594395,0.0031050872,0.00633226335
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.00059843913,0.0015617143,0.0010800767149999999
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.016001314,5.5484485e-05,0.0080283992425
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9074683,0.9522284,0.92984835
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.68281555,0.8954723,0.7891439250000001
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.00025073218,0.00031984635,0.000285289265
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.0034810994,0.008692952,0.0060870257
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.20075214,0.03405475,0.117403445
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0864298,0.023130639,0.054780219500000005
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.13160239,0.39593843,0.26377041
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.047742505,0.03701839,0.0423804475
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.9240399,0.93389374,0.9289668200000001
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.3046333,0.11205685,0.208345075
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.96057826,0.98325586,0.97191706
