file_id,organism,locus_tag,ess,conf,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.21361765,0.036032084,0.12482486699999999
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.5305688,0.21421465,0.37239172499999995
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.04805535,0.0247719,0.036413625
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.4826862,0.44177678,0.46223148999999997
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.018061398,0.10416359,0.061112494
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.06996174,0.03887496,0.05441835
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0076902453,0.00011477008,0.0039025076899999998
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.087276265,0.107053734,0.0971649995
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.06326558,0.65833926,0.36080242
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0039593377,0.0057872245,0.0048732811
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.025377791,0.04354033,0.0344590605
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.010087439,0.044640977,0.027364208
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9103961,0.9160819,0.913239
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.6856426,0.77859086,0.73211673
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.6425733,0.00061897386,0.32159613693
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.08322143,0.002666854,0.042944142
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.052317224,0.04147391,0.046895567
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0039500906,0.000261031,0.0021055608
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.020241255,0.00017615795,0.010208706474999999
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.015691537,8.858107e-06,0.007850197553499999
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.87450695,0.7990128,0.836759875
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.36485502,0.19546542,0.28016021999999996
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.976478,0.9787178,0.9775978999999999
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9706515,0.9811623,0.9759069
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9753914,0.97950774,0.97744957
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.34173593,0.26009604,0.300915985
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9839072,0.9631583,0.97353275
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.035631668,0.33488965,0.185260659
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9888265,0.96404016,0.9764333300000001
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.72186136,0.088446245,0.4051538025
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.7412384,0.74810255,0.7446704749999999
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.110606976,0.0006083875,0.05560768175
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.0069366507,0.014572338,0.010754494350000001
